"TIME","GEO","INDIC_IS","UNIT","IND_TYPE","Value","Flag and Footnotes"
"2011","European Union - 15 countries (1995-2004)","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","European Union - 15 countries (1995-2004)","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","23",""
"2011","European Union - 15 countries (1995-2004)","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","European Union - 15 countries (1995-2004)","Internet use: never","Percentage of individuals","All Individuals","21",""
"2011","European Union - 15 countries (1995-2004)","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Last internet use: in last 3 months","Percentage of individuals","All Individuals","72",""
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","2",""
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","3",""
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","74",""
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Last internet use: more than a year ago","Percentage of individuals","All Individuals","2",""
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Individuals who have ever used the internet","Percentage of individuals","All Individuals","76",""
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","26",""
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Internet use: never","Percentage of individuals","All Individuals","24",""
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Belgium","Last internet use: in last 3 months","Percentage of individuals","All Individuals","82",""
"2011","Belgium","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Belgium","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","1",""
"2011","Belgium","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","1",""
"2011","Belgium","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","83",""
"2011","Belgium","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Belgium","Last internet use: more than a year ago","Percentage of individuals","All Individuals","2",""
"2011","Belgium","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Belgium","Individuals who have ever used the internet","Percentage of individuals","All Individuals","84",""
"2011","Belgium","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Belgium","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","16",""
"2011","Belgium","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Belgium","Internet use: never","Percentage of individuals","All Individuals","14",""
"2011","Belgium","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Bulgaria","Last internet use: in last 3 months","Percentage of individuals","All Individuals","48",""
"2011","Bulgaria","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Bulgaria","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","3",""
"2011","Bulgaria","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","6",""
"2011","Bulgaria","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","51",""
"2011","Bulgaria","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Bulgaria","Last internet use: more than a year ago","Percentage of individuals","All Individuals","3",""
"2011","Bulgaria","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Bulgaria","Individuals who have ever used the internet","Percentage of individuals","All Individuals","54",""
"2011","Bulgaria","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Bulgaria","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","49",""
"2011","Bulgaria","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Bulgaria","Internet use: never","Percentage of individuals","All Individuals","46",""
"2011","Bulgaria","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Czechia","Last internet use: in last 3 months","Percentage of individuals","All Individuals","70",""
"2011","Czechia","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Czechia","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","2",""
"2011","Czechia","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","3",""
"2011","Czechia","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","73",""
"2011","Czechia","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Czechia","Last internet use: more than a year ago","Percentage of individuals","All Individuals","3",""
"2011","Czechia","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Czechia","Individuals who have ever used the internet","Percentage of individuals","All Individuals","76",""
"2011","Czechia","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Czechia","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","27",""
"2011","Czechia","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Czechia","Internet use: never","Percentage of individuals","All Individuals","24",""
"2011","Czechia","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Denmark","Last internet use: in last 3 months","Percentage of individuals","All Individuals","90",""
"2011","Denmark","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Denmark","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","1",""
"2011","Denmark","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","1",""
"2011","Denmark","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","91",""
"2011","Denmark","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Denmark","Last internet use: more than a year ago","Percentage of individuals","All Individuals","1",""
"2011","Denmark","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Denmark","Individuals who have ever used the internet","Percentage of individuals","All Individuals","92",""
"2011","Denmark","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Denmark","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","9",""
"2011","Denmark","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Denmark","Internet use: never","Percentage of individuals","All Individuals","7",""
"2011","Denmark","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Germany (until 1990 former territory of the FRG)","Last internet use: in last 3 months","Percentage of individuals","All Individuals","81",""
"2011","Germany (until 1990 former territory of the FRG)","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Germany (until 1990 former territory of the FRG)","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","2",""
"2011","Germany (until 1990 former territory of the FRG)","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","2",""
"2011","Germany (until 1990 former territory of the FRG)","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","83",""
"2011","Germany (until 1990 former territory of the FRG)","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Germany (until 1990 former territory of the FRG)","Last internet use: more than a year ago","Percentage of individuals","All Individuals","1",""
"2011","Germany (until 1990 former territory of the FRG)","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Germany (until 1990 former territory of the FRG)","Individuals who have ever used the internet","Percentage of individuals","All Individuals","84",""
"2011","Germany (until 1990 former territory of the FRG)","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Germany (until 1990 former territory of the FRG)","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","17",""
"2011","Germany (until 1990 former territory of the FRG)","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Germany (until 1990 former territory of the FRG)","Internet use: never","Percentage of individuals","All Individuals","16",""
"2011","Germany (until 1990 former territory of the FRG)","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Estonia","Last internet use: in last 3 months","Percentage of individuals","All Individuals","76",""
"2011","Estonia","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Estonia","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","1",""
"2011","Estonia","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","1",""
"2011","Estonia","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","77",""
"2011","Estonia","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Estonia","Last internet use: more than a year ago","Percentage of individuals","All Individuals","3",""
"2011","Estonia","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Estonia","Individuals who have ever used the internet","Percentage of individuals","All Individuals","80",""
"2011","Estonia","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Estonia","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","23",""
"2011","Estonia","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Estonia","Internet use: never","Percentage of individuals","All Individuals","20",""
"2011","Estonia","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Ireland","Last internet use: in last 3 months","Percentage of individuals","All Individuals","75",""
"2011","Ireland","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Ireland","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","2",""
"2011","Ireland","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","3",""
"2011","Ireland","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","77",""
"2011","Ireland","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Ireland","Last internet use: more than a year ago","Percentage of individuals","All Individuals","2",""
"2011","Ireland","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Ireland","Individuals who have ever used the internet","Percentage of individuals","All Individuals","79",""
"2011","Ireland","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Ireland","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","23",""
"2011","Ireland","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Ireland","Internet use: never","Percentage of individuals","All Individuals","21",""
"2011","Ireland","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Greece","Last internet use: in last 3 months","Percentage of individuals","All Individuals","52",""
"2011","Greece","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Greece","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","2",""
"2011","Greece","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","3",""
"2011","Greece","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","53",""
"2011","Greece","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Greece","Last internet use: more than a year ago","Percentage of individuals","All Individuals","2",""
"2011","Greece","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Greece","Individuals who have ever used the internet","Percentage of individuals","All Individuals","55",""
"2011","Greece","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Greece","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","47",""
"2011","Greece","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Greece","Internet use: never","Percentage of individuals","All Individuals","45",""
"2011","Greece","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Spain","Last internet use: in last 3 months","Percentage of individuals","All Individuals","66",""
"2011","Spain","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Spain","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","2",""
"2011","Spain","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","3",""
"2011","Spain","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","69",""
"2011","Spain","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Spain","Last internet use: more than a year ago","Percentage of individuals","All Individuals","2",""
"2011","Spain","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Spain","Individuals who have ever used the internet","Percentage of individuals","All Individuals","71",""
"2011","Spain","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Spain","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","31",""
"2011","Spain","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Spain","Internet use: never","Percentage of individuals","All Individuals","29",""
"2011","Spain","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","France","Last internet use: in last 3 months","Percentage of individuals","All Individuals","78",""
"2011","France","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","France","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","2",""
"2011","France","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","2",""
"2011","France","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","80",""
"2011","France","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","France","Last internet use: more than a year ago","Percentage of individuals","All Individuals","3",""
"2011","France","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","France","Individuals who have ever used the internet","Percentage of individuals","All Individuals","82",""
"2011","France","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","France","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","20",""
"2011","France","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","France","Internet use: never","Percentage of individuals","All Individuals","18",""
"2011","France","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Croatia","Last internet use: in last 3 months","Percentage of individuals","All Individuals","58",""
"2011","Croatia","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Croatia","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","2",""
"2011","Croatia","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","3",""
"2011","Croatia","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","60",""
"2011","Croatia","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Croatia","Last internet use: more than a year ago","Percentage of individuals","All Individuals","2",""
"2011","Croatia","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Croatia","Individuals who have ever used the internet","Percentage of individuals","All Individuals","61",""
"2011","Croatia","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Croatia","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","40",""
"2011","Croatia","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Croatia","Internet use: never","Percentage of individuals","All Individuals","39",""
"2011","Croatia","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Italy","Last internet use: in last 3 months","Percentage of individuals","All Individuals","54",""
"2011","Italy","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Italy","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","2",""
"2011","Italy","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","4",""
"2011","Italy","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","57",""
"2011","Italy","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Italy","Last internet use: more than a year ago","Percentage of individuals","All Individuals","3",""
"2011","Italy","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Italy","Individuals who have ever used the internet","Percentage of individuals","All Individuals","60",""
"2011","Italy","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Italy","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","41",""
"2011","Italy","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Italy","Internet use: never","Percentage of individuals","All Individuals","39",""
"2011","Italy","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Cyprus","Last internet use: in last 3 months","Percentage of individuals","All Individuals","57",""
"2011","Cyprus","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Cyprus","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","1",""
"2011","Cyprus","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","1",""
"2011","Cyprus","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","58",""
"2011","Cyprus","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Cyprus","Last internet use: more than a year ago","Percentage of individuals","All Individuals","2",""
"2011","Cyprus","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Cyprus","Individuals who have ever used the internet","Percentage of individuals","All Individuals","59",""
"2011","Cyprus","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Cyprus","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","42",""
"2011","Cyprus","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Cyprus","Internet use: never","Percentage of individuals","All Individuals","41",""
"2011","Cyprus","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","Latvia","Last internet use: in last 3 months","Percentage of individuals","All Individuals","70",""
